Borough,Neighborhood,Venue_name,Venue_id,Venue_lat,Venue_lng,PriceTier,LikesCount,Dislike,Rating,BeenHereCount,PhotosCount,ReasonsCount,TipsCount
Brooklyn,Sunset Park,Luigi's Pizza,4ca7cf4414c337048999cd3b,40.64677589775821,-74.00870886603244,0,13,False,7.6,0,27,0,3
Brooklyn,Sunset Park,Cafe Lore,5095a98ae4b0038a605e6f45,40.648474,-74.01008900000002,2,7,False,7.3,0,7,0,6
Brooklyn,Sunset Park,Café Zona Sur,50f213ccf2e777d9466664e9,40.650104951568366,-74.00886710905672,2,89,False,8.8,0,67,1,32
Brooklyn,Sunset Park,Grandma's Original Pizza,4bd86483e914a593621653fa,40.641391681151134,-74.01419825079633,0,2,False,0.0,0,4,0,1
Brooklyn,Sunset Park,Matisa,54b40578498e467579872069,40.652124,-74.006304,0,0,False,0.0,0,0,0,0
Brooklyn,Sunset Park,Gina's Restaurant,4c7da9455af8b60ce76d9010,40.65117538160615,-74.00403891511962,2,3,False,0.0,0,4,0,1
Brooklyn,Sunset Park,Burger King,4c5eec237f661b8da6514f1c,40.6438027,-74.0118805,0,4,False,5.5,0,22,0,6
Brooklyn,Greenpoint,Adelina's,4ff37cb9e4b0b8fda883be7f,40.730301301138475,-73.95335193287592,2,102,False,7.5,0,179,1,32
Brooklyn,Greenpoint,Naked Dog,5424b085498ec9a9cdb44b70,40.7312918882724,-73.95947690314539,0,127,False,8.8,0,25,1,22
Brooklyn,Greenpoint,Paulie Gee’s,4b9709fcf964a520c4f434e3,40.729801246987186,-73.95852046352438,2,1253,False,9.2,0,766,1,395
Brooklyn,Greenpoint,Scalino G.P.,52ce08c311d2be2d6d169354,40.724513352988865,-73.95124597100761,0,97,False,8.2,0,43,1,26
Brooklyn,Greenpoint,Le Fanfare,540a3547498e9b339b6431ae,40.736229837332274,-73.95529768226487,2,112,False,8.2,0,75,1,33
Brooklyn,Greenpoint,Forma Pasta Factory,5c6ddee8de3bbf002c44d83c,40.723706829858216,-73.95148527074878,0,38,False,9.2,0,32,1,12
Brooklyn,Greenpoint,Milk & Roses,4bd34b149854d13a9a6afd4d,40.73633015722722,-73.95521746020849,1,348,False,8.5,0,328,1,134
Brooklyn,Greenpoint,Leuca,581a96d86a80ef1143345d2a,40.721923,-73.956611,0,252,False,8.4,0,131,1,52
Brooklyn,Greenpoint,Tony's Pizzeria,56319c52498e470ce623a9d9,40.72530993511933,-73.94619967887039,0,16,False,7.4,0,2,0,1
Brooklyn,Greenpoint,Anella,4a5a78f1f964a52064ba1fe3,40.73327191911455,-73.95801948957295,2,389,False,8.8,0,196,1,141
Brooklyn,Greenpoint,Pizza Prince,4f77e3d9e4b06ff836a5b1d9,40.72389912120654,-73.95052951530391,1,35,False,6.4,0,18,1,16
Brooklyn,Greenpoint,Valdiano Restaurant & Pizza,4bc114b9461576b0e3687b32,40.72461,-73.95127600000002,0,0,False,0.0,0,2,0,4
Brooklyn,Gravesend,Joe's of Avenue U,4ad8c329f964a520731421e3,40.596970812269824,-73.97367727016979,2,35,False,7.9,0,45,1,27
Brooklyn,Gravesend,L&B Spumoni Gardens,49d006ccf964a520f85a1fe3,40.59457745537681,-73.98145848172373,2,1107,False,9.2,0,1439,1,427
Brooklyn,Gravesend,Cafe Kafeneja Jone,59ae538bc9f90727c3069063,40.594527,-73.973888,0,0,False,0.0,0,0,0,0
Brooklyn,Gravesend,Eagle Cheese,4ecbba2bcc214a29d1828ee2,40.596872999999995,-73.972263,0,0,False,0.0,0,1,0,1
